marca_telefono,modelo_telefono,tienda,precio_usd,almacenamiento,ram,fecha_lanzamiento,dimensiones,peso,tipo_pantalla,tama̱o_pantalla,resolucion_pantalla,sistema operativo,nfc,usb,bateria,caracteristicas_sensores,colores,video,chipset,cpu,gpu,a̱o,plegable,densidad ppi, quantile_10,quantile_50,quantile_90,rango_precio,tipo_os,version_os,tama̱o_bateria,colores_disponibles,empresa_chip,n̼cleo_cpu,empresa_gpu,huella digital,resolucion_video
0,1,1,264.6,128,4,2019-09-20,24,194.0,187,6.1,67,205,1,0,3110,4,43,28,2,4,28,2019-01-01,0,326,130.8,249.0,403.566,2,3,4,3,6,0,1,1,1,1
0,1,1,305.63,256,4,2019-09-20,24,194.0,187,6.1,67,205,1,0,3110,4,43,28,2,4,28,2019-01-01,0,326,130.8,249.0,403.566,2,3,4,3,6,0,1,1,1,1
0,2,1,303.48,256,4,2019-09-20,5,188.0,257,5.8,15,205,1,0,3046,4,234,28,2,4,28,2019-01-01,0,458,130.8,249.0,403.566,2,3,4,3,4,0,1,1,1,1
0,2,1,377.32,512,4,2019-09-20,5,188.0,257,5.8,15,205,1,0,3046,4,234,28,2,4,28,2019-01-01,0,458,130.8,249.0,403.566,2,3,4,3,4,0,1,1,1,1
0,3,1,390.63,256,4,2019-09-20,49,226.0,257,6.5,30,205,1,0,3969,4,234,28,2,4,28,2019-01-01,0,458,130.8,249.0,403.566,2,3,4,2,4,0,1,1,1,1
0,3,1,422.27,512,4,2019-09-20,49,226.0,257,6.5,30,205,1,0,3969,4,234,28,2,4,28,2019-01-01,0,458,130.8,249.0,403.566,0,3,4,2,4,0,1,1,1,1
0,24,1,157.68,128,3,2020-04-24,2,148.0,222,4.7,65,205,1,0,1821,6,80,27,2,4,28,2020-01-01,0,326,100.8,196.81,491.512,2,3,4,3,3,0,1,1,2,1
0,24,1,190.08,256,3,2020-04-24,2,148.0,222,4.7,65,205,1,0,1821,6,80,27,2,4,28,2020-01-01,0,326,100.8,196.81,491.512,2,3,4,3,3,0,1,1,2,1
0,4,1,325.08,128,4,2020-10-23,11,164.0,256,6.1,16,206,1,0,2815,4,82,25,3,5,28,2020-01-01,0,460,100.8,196.81,491.512,2,3,6,3,6,0,1,1,1,1
0,4,1,375.84,256,4,2020-10-23,11,164.0,256,6.1,16,206,1,0,2815,4,82,25,3,5,28,2020-01-01,0,460,100.8,196.81,491.512,2,3,6,3,6,0,1,1,1,1
0,5,1,457.92,256,6,2020-10-23,11,189.0,257,6.1,16,206,1,0,2815,4,357,24,3,5,28,2020-01-01,0,460,100.8,196.81,491.512,2,3,6,3,4,0,1,1,1,1
0,5,1,481.68,512,6,2020-10-23,11,189.0,257,6.1,16,206,1,0,2815,4,357,24,3,5,28,2020-01-01,0,460,100.8,196.81,491.512,2,3,6,3,4,0,1,1,1,1
0,12,1,640.0,256,6,2022-09-16,13,172.0,257,6.1,16,209,1,0,3279,4,266,17,4,7,29,2022-01-01,0,460,114.99,246.27,790.56,2,3,10,3,6,0,1,1,1,1
0,12,1,741.67,512,6,2022-09-16,13,172.0,257,6.1,16,209,1,0,3279,4,266,17,4,7,29,2022-01-01,0,460,114.99,246.27,790.56,2,3,10,3,6,0,1,1,1,1
0,13,1,681.04,256,6,2022-10-07,112,203.0,257,6.7,37,209,1,0,4323,4,266,17,4,7,29,2022-01-01,0,458,114.99,246.27,790.56,2,3,10,2,6,0,1,1,1,1
0,13,1,802.97,512,6,2022-10-07,112,203.0,257,6.7,37,209,1,0,4323,4,266,17,4,7,29,2022-01-01,0,458,114.99,246.27,790.56,0,3,10,2,6,0,1,1,1,1
0,14,1,767.04,256,6,2022-09-16,16,206.0,180,6.1,17,209,1,0,3200,4,364,16,5,8,29,2022-01-01,0,460,114.99,246.27,790.56,2,3,10,3,4,0,1,1,1,1
0,14,1,861.69,512,6,2022-09-16,16,206.0,180,6.1,17,209,1,0,3200,4,364,16,5,8,29,2022-01-01,0,460,114.99,246.27,790.56,0,3,10,3,4,0,1,1,1,1
0,14,1,1018.74,1000,6,2022-09-16,16,206.0,180,6.1,17,209,1,0,3200,4,364,16,5,8,29,2022-01-01,0,460,114.99,246.27,790.56,0,3,10,3,4,0,1,1,1,1
0,15,1,840.34,256,6,2022-09-16,108,240.0,180,6.7,38,209,1,0,4323,4,364,16,5,8,29,2022-01-01,0,460,114.99,246.27,790.56,0,3,10,2,4,0,1,1,1,1
0,15,1,876.94,512,6,2022-09-16,108,240.0,180,6.7,38,209,1,0,4323,4,364,16,5,8,29,2022-01-01,0,460,114.99,246.27,790.56,0,3,10,2,4,0,1,1,1,1
0,15,1,995.06,1000,6,2022-09-16,108,240.0,180,6.7,38,209,1,0,4323,4,364,16,5,8,29,2022-01-01,0,460,114.99,246.27,790.56,0,3,10,2,4,0,1,1,1,1
0,25,1,243.0,128,4,2022-03-18,2,144.0,222,4.7,65,208,1,0,2018,6,267,27,4,6,28,2022-01-01,0,326,114.99,246.27,790.56,2,3,9,3,3,0,1,1,2,1
0,25,1,185.76,256,4,2022-03-18,2,144.0,222,4.7,65,208,1,0,2018,6,267,27,4,6,28,2022-01-01,0,326,114.99,246.27,790.56,2,3,9,3,3,0,1,1,2,1
0,16,1,743.57,256,6,2023-09-22,17,171.0,254,6.1,17,210,1,4,3349,4,24,17,5,8,29,2023-01-01,0,461,118.514,329.99,999.99,2,3,11,3,5,0,1,1,1,1
0,16,1,828.35,512,6,2023-09-22,17,171.0,254,6.1,17,210,1,4,3349,4,24,17,5,8,29,2023-01-01,0,461,118.514,329.99,999.99,2,3,11,3,5,0,1,1,1,1
0,19,1,1079.75,512,8,2023-09-22,85,221.0,180,6.7,38,210,1,23,4441,4,20,15,6,9,30,2023-01-01,0,460,118.514,329.99,999.99,0,3,11,2,4,0,1,1,1,1
0,19,1,1261.82,1000,8,2023-09-22,85,221.0,180,6.7,38,210,1,23,4441,4,20,15,6,9,30,2023-01-01,0,460,118.514,329.99,999.99,0,3,11,2,4,0,1,1,1,1
0,17,1,814.03,256,6,2023-09-22,117,201.0,254,6.7,38,210,1,4,4383,4,24,17,5,8,29,2023-01-01,0,460,118.514,329.99,999.99,2,3,11,2,5,0,1,1,1,1
0,17,1,995.76,512,6,2023-09-22,117,201.0,254,6.7,38,210,1,4,4383,4,24,17,5,8,29,2023-01-01,0,460,118.514,329.99,999.99,2,3,11,2,5,0,1,1,1,1
0,18,1,967.24,256,8,2023-09-22,10,187.0,180,6.1,17,210,1,23,3274,4,20,15,6,9,30,2023-01-01,0,461,118.514,329.99,999.99,2,3,11,3,4,0,1,1,1,1
0,18,1,1059.91,512,8,2023-09-22,10,187.0,180,6.1,17,210,1,23,3274,4,20,15,6,9,30,2023-01-01,0,461,118.514,329.99,999.99,0,3,11,3,4,0,1,1,1,1
0,18,1,1204.62,1000,8,2023-09-22,10,187.0,180,6.1,17,210,1,23,3274,4,20,15,6,9,30,2023-01-01,0,461,118.514,329.99,999.99,0,3,11,3,4,0,1,1,1,1
0,20,1,1024.92,256,8,2024-09-20,17,170.0,255,6.1,17,211,1,4,3561,4,78,17,7,10,29,2024-01-01,0,460,161.707,550.45,1375.35,2,3,12,2,5,0,1,1,1,1
0,20,1,1165.32,512,8,2024-09-20,17,170.0,255,6.1,17,211,1,4,3561,4,78,17,7,10,29,2024-01-01,0,460,161.707,550.45,1375.35,2,3,12,2,5,0,1,1,1,1
0,21,1,1186.92,256,8,2024-09-20,117,199.0,255,6.7,38,211,1,4,4674,4,78,17,7,10,29,2024-01-01,0,460,161.707,550.45,1375.35,2,3,12,1,5,0,1,1,1,1
0,21,1,1327.32,512,8,2024-09-20,117,199.0,255,6.7,38,211,1,4,4674,4,78,17,7,10,29,2024-01-01,0,460,161.707,550.45,1375.35,2,3,12,1,5,0,1,1,1,1
0,10,1,707.4,256,6,2021-09-24,111,240.0,253,6.7,37,207,1,0,4352,4,189,22,4,7,29,2021-01-01,0,458,127.03,249.99,581.99,0,3,8,2,5,0,1,1,1,1
0,10,1,732.84,512,6,2021-09-24,111,240.0,253,6.7,37,207,1,0,4352,4,189,22,4,7,29,2021-01-01,0,458,127.03,249.99,581.99,0,3,8,2,5,0,1,1,1,1
0,10,1,814.11,1000,6,2021-09-24,111,240.0,253,6.7,37,207,1,0,4352,4,189,22,4,7,29,2021-01-01,0,458,127.03,249.99,581.99,0,3,8,2,5,0,1,1,1,1
0,8,1,466.45,256,4,2021-09-24,12,174.0,257,6.1,16,207,1,0,3240,4,373,26,4,7,28,2021-01-01,0,460,127.03,249.99,581.99,2,3,8,3,6,0,1,1,1,1
0,8,1,538.92,512,4,2021-09-24,12,174.0,257,6.1,16,207,1,0,3240,4,373,26,4,7,28,2021-01-01,0,460,127.03,249.99,581.99,2,3,8,3,6,0,1,1,1,1
0,9,1,609.99,256,6,2021-09-24,12,204.0,253,6.1,16,207,1,0,3095,4,189,23,4,7,29,2021-01-01,0,460,127.03,249.99,581.99,0,3,8,3,5,0,1,1,1,1
0,9,1,640.44,512,6,2021-09-24,12,204.0,253,6.1,16,207,1,0,3095,4,189,23,4,7,29,2021-01-01,0,460,127.03,249.99,581.99,0,3,8,3,5,0,1,1,1,1
0,9,1,749.1,1000,6,2021-09-24,12,204.0,253,6.1,16,207,1,0,3095,4,189,23,4,7,29,2021-01-01,0,460,127.03,249.99,581.99,0,3,8,3,5,0,1,1,1,1
1,37,1,499.71,128,8,2021-05-13,19,169.0,237,5.9,4,53,1,5,4000,44,296,125,132,30,14,2021-01-01,0,446,127.03,249.99,581.99,2,0,1,2,2,7,3,0,5,2
1,37,1,405.14,256,8,2021-05-13,19,169.0,237,5.9,4,53,1,5,4000,44,296,125,132,30,14,2021-01-01,0,446,127.03,249.99,581.99,2,0,1,2,2,7,3,0,5,2
1,37,1,445.0,256,12,2021-05-13,19,169.0,237,5.9,4,53,1,5,4000,44,296,125,132,30,14,2021-01-01,0,446,127.03,249.99,581.99,2,0,1,2,2,7,3,0,5,2
1,38,1,606.11,256,8,2022-09-15,8,169.0,236,5.9,4,102,1,32,4300,25,379,127,137,49,19,2022-01-01,0,445,114.99,246.27,790.56,2,0,3,2,4,7,3,0,4,2
1,38,1,723.6,256,16,2022-09-15,8,169.0,236,5.9,4,102,1,32,4300,25,379,127,137,49,19,2022-01-01,0,445,114.99,246.27,790.56,2,0,3,2,4,7,3,0,4,2
1,32,1,603.61,512,16,2023-05-01,370,239.0,38,6.78,9,130,1,10,6000,44,328,129,139,51,23,2023-01-01,0,395,118.514,329.99,999.99,2,0,4,4,2,7,3,0,5,2
1,35,1,632.87,256,8,2023-07-10,9,172.0,240,5.92,4,130,1,5,4300,25,378,140,139,51,23,2023-01-01,0,445,118.514,329.99,999.99,2,0,4,2,5,7,3,0,4,2
1,35,1,686.87,256,16,2023-07-10,9,172.0,240,5.92,4,130,1,5,4300,25,378,140,139,51,23,2023-01-01,0,445,118.514,329.99,999.99,2,0,4,2,5,7,3,0,4,2
1,35,1,762.47,512,16,2023-07-10,9,172.0,240,5.92,4,130,1,5,4300,25,378,140,139,51,23,2023-01-01,0,445,118.514,329.99,999.99,2,0,4,2,5,7,3,0,4,2
1,34,1,1295.99,1000,24,2024-01-18,252,225.0,165,6.78,4,169,1,2,5500,44,318,129,144,55,25,2024-01-01,0,388,161.707,550.45,1375.35,2,0,5,0,1,7,3,0,5,2
1,36,1,808.92,512,16,2024-04-14,252,224.0,156,6.78,4,169,1,1,5500,44,153,129,144,55,25,2024-01-01,0,388,161.707,550.45,1375.35,2,0,5,0,4,7,3,0,5,2
2,39,1,246.33,256,12,2023-09-01,158,193.9,109,6.5,4,116,1,5,4380,25,348,8,76,71,44,2023-01-01,0,405,118.514,329.99,999.99,2,0,4,2,2,6,3,3,4,0
4,47,1,543.97,256,8,2023-10-12,23,187.0,189,6.2,4,187,1,22,4575,45,298,30,26,13,36,2023-01-01,0,428,118.514,329.99,999.99,2,0,5,1,4,2,2,2,5,1
4,42,1,198.5,128,6,2019-10-22,96,193.0,217,6.3,44,19,1,9,3700,4,114,82,128,32,8,2019-01-01,0,537,130.8,249.0,403.566,2,0,0,2,3,7,3,0,1,1
4,41,1,162.42,128,6,2019-10-22,15,162.0,217,5.7,0,19,1,9,2800,4,114,82,128,32,8,2019-01-01,0,444,130.8,249.0,403.566,2,0,0,3,3,7,3,0,1,1
4,43,1,209.87,256,8,2021-10-28,58,207.0,68,6.4,4,102,1,9,4614,45,362,43,24,94,67,2021-01-01,0,411,127.03,249.99,581.99,2,0,3,1,3,2,3,3,5,1
4,52,1,2042.27,512,16,2024-09-04,378,257.0,104,8.0,56,187,1,22,4650,26,300,18,27,46,57,2024-01-01,1,373,161.707,550.45,1375.35,0,0,5,1,2,2,3,3,4,1
4,50,1,803.27,256,12,2024-08-22,31,198.0,190,6.3,7,187,1,22,4700,59,303,19,27,46,57,2024-01-01,0,422,161.707,550.45,1375.35,2,0,5,1,4,2,3,3,5,1
4,51,1,1098.93,256,16,2024-09-09,31,199.0,170,6.3,36,187,1,22,4700,61,336,142,27,46,57,2024-01-01,0,495,161.707,550.45,1375.35,2,0,5,1,4,2,3,3,5,2
4,51,1,1272.39,512,16,2024-09-09,31,199.0,170,6.3,36,187,1,22,4700,61,336,142,27,46,57,2024-01-01,0,495,161.707,550.45,1375.35,2,0,5,1,4,2,3,3,5,2
4,51,1,1435.32,1000,16,2024-09-09,31,199.0,170,6.3,36,187,1,22,4700,61,336,142,27,46,57,2024-01-01,0,495,161.707,550.45,1375.35,0,0,5,1,4,2,3,3,5,2
4,53,1,1037.84,256,16,2024-08-22,197,221.0,170,6.8,41,187,1,22,5060,61,336,142,27,46,57,2024-01-01,0,486,161.707,550.45,1375.35,2,0,5,1,4,2,3,3,5,2
4,53,1,1162.06,512,16,2024-08-22,197,221.0,170,6.8,41,187,1,22,5060,61,336,142,27,46,57,2024-01-01,0,486,161.707,550.45,1375.35,2,0,5,1,4,2,3,3,5,2
4,53,1,1499.98,1000,16,2024-08-22,197,221.0,170,6.8,41,187,1,22,5060,61,336,142,27,46,57,2024-01-01,0,486,161.707,550.45,1375.35,0,0,5,1,4,2,3,3,5,2
4,48,1,648.24,256,12,2023-10-12,192,213.0,169,6.7,41,187,1,22,5050,49,302,35,26,13,36,2023-01-01,0,489,118.514,329.99,999.99,2,0,5,1,4,2,2,2,5,1
4,48,1,756.43,512,12,2023-10-12,192,213.0,169,6.7,41,187,1,22,5050,49,302,35,26,13,36,2023-01-01,0,489,118.514,329.99,999.99,2,0,5,1,4,2,2,2,5,1
4,48,1,852.29,1000,12,2023-10-12,192,213.0,169,6.7,41,187,1,22,5050,49,302,35,26,13,36,2023-01-01,0,489,118.514,329.99,999.99,2,0,5,1,4,2,2,2,5,1
4,49,1,456.56,256,8,2024-05-14,27,188.0,203,6.1,4,187,1,22,4492,45,301,40,26,13,36,2024-01-01,0,430,161.707,550.45,1375.35,2,0,5,2,4,2,2,2,5,1
4,54,1,1273.56,512,12,2023-06-27,374,283.0,106,7.6,54,142,1,28,4821,26,335,39,25,95,56,2023-01-01,1,378,118.514,329.99,999.99,0,0,4,1,2,2,3,3,4,1
4,44,1,298.37,256,12,2021-10-28,255,210.0,154,6.7,46,102,1,9,5003,45,117,43,24,94,67,2021-01-01,0,512,127.03,249.99,581.99,2,0,3,1,3,2,3,3,5,1
4,44,1,369.88,512,12,2021-10-28,255,210.0,154,6.7,46,102,1,9,5003,45,117,43,24,94,67,2021-01-01,0,512,127.03,249.99,581.99,2,0,3,1,3,2,3,3,5,1
4,46,1,398.6,256,12,2022-10-13,204,212.0,155,6.7,46,142,1,22,5000,45,304,44,25,95,56,2022-01-01,0,512,114.99,246.27,790.56,2,0,4,1,3,2,3,3,5,1
4,46,1,456.78,512,12,2022-10-13,204,212.0,155,6.7,46,142,1,22,5000,45,304,44,25,95,56,2022-01-01,0,512,114.99,246.27,790.56,2,0,4,1,3,2,3,3,5,1
4,45,1,322.92,256,8,2022-10-13,37,197.0,69,6.3,4,142,1,22,4355,45,299,44,25,95,56,2022-01-01,0,416,114.99,246.27,790.56,2,0,4,2,3,2,3,3,5,1
5,59,1,227.86,256,8,2022-06-02,136,178.0,196,6.67,4,78,1,5,4800,44,248,97,120,22,11,2022-01-01,0,395,114.99,246.27,790.56,2,0,3,1,4,7,3,0,5,1
5,59,1,230.39,256,12,2022-06-02,136,178.0,196,6.67,4,78,1,5,4800,44,248,97,120,22,11,2022-01-01,0,395,114.99,246.27,790.56,2,0,3,1,4,7,3,0,5,1
5,67,1,192.23,128,4,2022-09-21,242,194.0,258,6.5,60,78,1,5,5000,30,307,5,80,99,70,2022-01-01,0,270,114.99,246.27,790.56,2,0,3,1,3,6,3,4,4,0
5,64,1,248.39,256,8,2023-02-20,149,175.0,20,6.67,4,95,1,5,5100,44,249,5,109,79,6,2023-01-01,0,395,118.514,329.99,999.99,2,0,3,1,3,7,3,0,5,0
5,68,1,156.14,128,6,2022-04-14,343,198.0,129,6.74,60,35,1,5,5000,14,306,5,106,114,2,2022-01-01,0,260,114.99,246.27,790.56,2,0,1,1,2,7,3,0,4,0
5,65,1,647.99,256,12,2023-03-31,205,219.0,176,6.81,39,146,1,13,5100,35,51,59,139,51,23,2023-01-01,0,460,118.514,329.99,999.99,2,0,4,1,5,7,3,0,5,1
5,71,1,172.8,128,8,2023-02-11,198,179.0,129,6.7,3,78,1,5,4500,14,138,5,89,64,41,2023-01-01,0,391,118.514,329.99,999.99,2,0,3,1,3,6,3,3,4,0
5,60,1,315.89,512,12,2023-06-07,164,183.0,26,6.7,20,121,1,5,5000,42,247,97,148,21,12,2023-01-01,0,435,118.514,329.99,999.99,2,0,4,1,4,7,3,0,5,1
5,69,1,151.09,128,6,2023-01-06,342,196.0,258,6.75,60,78,1,5,6000,31,396,5,84,107,70,2023-01-01,0,260,118.514,329.99,999.99,2,0,3,4,3,6,3,4,4,0
5,72,1,261.28,256,8,2023-12-22,122,166.0,60,6.7,6,122,0,5,4500,14,175,5,106,114,2,2023-01-01,0,394,118.514,329.99,999.99,2,0,4,1,3,7,3,0,4,0
5,70,1,210.03,256,6,2023-12-01,335,199.0,150,6.8,6,146,1,5,5330,13,157,5,106,114,2,2023-01-01,0,389,118.514,329.99,999.99,2,0,4,1,3,7,3,0,4,0
5,66,1,860.12,512,12,2024-01-18,187,225.0,172,6.8,35,181,1,26,5600,35,35,29,144,55,25,2024-01-01,0,453,161.707,550.45,1375.35,2,0,5,0,5,7,3,0,5,1
5,56,1,572.29,256,12,2024-05-31,144,187.0,194,6.7,20,157,1,5,5200,42,123,98,126,24,17,2024-01-01,0,436,161.707,550.45,1375.35,2,0,5,1,4,7,3,0,5,1
5,56,1,517.32,512,12,2024-05-31,144,187.0,194,6.7,20,157,1,5,5200,42,123,98,126,24,17,2024-01-01,0,436,161.707,550.45,1375.35,2,0,5,1,4,7,3,0,5,1
5,57,1,669.59,512,12,2024-05-31,222,199.0,194,6.78,26,181,1,5,5200,42,279,98,143,40,22,2024-01-01,0,437,161.707,550.45,1375.35,2,0,5,1,4,7,3,0,5,1
5,62,1,2115.72,512,12,2024-07-19,379,226.0,103,7.92,57,158,1,17,5150,26,401,34,144,55,25,2024-01-01,1,402,161.707,550.45,1375.35,0,0,5,1,4,7,3,0,4,1
5,61,1,1258.52,512,16,2023-07-27,380,231.0,105,7.92,57,146,1,17,5000,29,58,33,140,48,23,2023-01-01,1,402,118.514,329.99,999.99,0,0,4,1,4,7,3,0,4,1
5,58,1,185.9,128,8,2021-06-25,87,175.0,191,6.57,1,35,1,5,4300,44,165,97,119,18,11,2021-01-01,0,392,127.03,249.99,581.99,2,0,1,2,5,7,3,0,5,1
7,82,1,805.67,512,8,2023-04-27,281,188.0,202,6.78,19,201,1,5,4500,41,41,10,118,115,11,2023-01-01,0,429,118.514,329.99,999.99,2,2,14,1,4,7,3,0,5,1
7,75,1,239.84,128,6,2019-03-26,20,165.0,204,6.1,1,191,1,9,3650,50,12,106,33,87,61,2019-01-01,0,422,130.8,249.0,403.566,2,0,17,2,5,4,3,3,5,1
7,77,1,1143.72,512,12,2023-03-31,119,200.0,171,6.67,24,202,1,15,4815,50,39,57,138,50,19,2023-01-01,0,444,118.514,329.99,999.99,0,2,15,1,4,7,3,0,5,1
7,85,1,186.27,256,8,2021-09-30,86,175.0,195,6.57,1,199,1,5,4300,44,377,10,118,115,11,2021-01-01,0,392,127.03,249.99,581.99,2,2,13,2,4,7,3,0,5,1
7,84,1,123.67,128,8,2021-07-22,165,190.0,108,6.67,2,2,0,3,4300,25,277,5,104,103,2,2021-01-01,0,391,127.03,249.99,581.99,1,0,0,2,3,7,3,0,4,0
7,86,1,161.22,256,8,2022-03-20,294,191.0,129,6.78,3,27,1,5,4000,17,256,6,106,114,2,2022-01-01,0,387,114.99,246.27,790.56,2,0,1,2,3,7,3,0,4,0
7,73,1,662.84,512,8,2022-09-28,172,205.0,191,6.74,23,196,1,17,4700,5,64,36,138,50,19,2022-01-01,0,428,114.99,246.27,790.56,2,1,4,1,4,7,3,0,1,1
7,88,1,205.19,128,6,2022-07-27,221,195.0,129,6.7,3,194,1,5,5000,14,137,5,106,114,2,2022-01-01,0,391,114.99,246.27,790.56,2,1,3,1,4,7,3,0,4,0
7,76,1,434.15,256,8,2021-08-12,59,195.0,191,6.6,28,200,1,15,4360,48,180,57,30,47,68,2021-01-01,0,450,127.03,249.99,581.99,2,2,13,2,4,4,3,3,5,1
7,87,1,215.99,128,4,2022-05-01,350,199.0,108,6.75,60,195,0,5,6000,31,136,5,29,102,39,2022-01-01,0,260,114.99,246.27,790.56,2,1,3,4,3,4,3,3,4,0
7,74,1,2353.82,512,12,2023-04-08,381,239.0,107,7.85,58,202,1,13,4800,28,84,58,138,50,19,2023-01-01,1,426,118.514,329.99,999.99,0,2,15,1,5,7,3,0,4,1
7,83,1,215.95,256,8,2024-04-16,221,199.0,129,6.7,3,197,1,3,5000,14,201,5,147,112,2,2024-01-01,0,391,161.707,550.45,1375.35,2,1,5,1,3,7,3,0,4,0
7,81,1,394.19,256,8,2023-04-27,134,168.0,202,6.7,13,201,1,5,4500,41,41,10,118,115,11,2023-01-01,0,391,118.514,329.99,999.99,2,2,14,1,4,7,3,0,5,1
7,80,1,1381.58,1000,16,2024-04-29,191,226.0,177,6.8,33,198,1,19,5200,56,72,11,32,16,0,2024-01-01,0,460,161.707,550.45,1375.35,0,1,7,1,4,4,3,5,5,1
7,79,1,991.49,512,12,2024-04-29,191,220.0,177,6.8,33,198,1,19,5050,56,79,11,32,16,0,2024-01-01,0,460,161.707,550.45,1375.35,2,1,7,1,3,4,3,5,5,1
9,120,1,151.19,128,8,2023-01-24,194,184.3,130,6.5,60,129,1,3,5000,22,233,5,91,64,41,2023-01-01,0,270,118.514,329.99,999.99,2,0,4,1,3,6,3,3,4,0
9,106,1,99.4,64,4,2022-10-11,235,169.0,129,6.5,60,69,1,3,4020,30,8,5,85,108,70,2022-01-01,0,270,114.99,246.27,790.56,1,0,3,2,2,6,3,4,4,0
9,131,1,215.46,128,4,2022-12-15,194,183.0,109,6.5,60,129,1,5,5000,25,212,5,101,75,6,2022-01-01,0,270,114.99,246.27,790.56,2,0,4,1,3,7,3,0,4,0
9,91,1,159.29,256,8,2021-08-16,209,163.0,199,6.7,4,52,1,3,4000,25,169,74,119,18,11,2021-01-01,0,385,127.03,249.99,581.99,2,0,1,2,3,7,3,0,4,1
9,93,1,214.68,128,8,2022-05-12,74,155.0,35,6.5,4,89,1,3,4020,44,236,85,120,22,11,2022-01-01,0,405,114.99,246.27,790.56,2,0,3,2,3,7,3,0,5,1
9,96,1,534.63,256,8,2022-03-04,214,196.0,199,6.7,4,89,1,14,4800,26,134,112,135,41,19,2022-01-01,0,393,114.99,246.27,790.56,2,0,3,1,2,7,3,0,4,2
